Name,Formula,CAS,wt,CPLC1,CPLC2,CPLC3,CPLC4,CPLC5,CPLTmin,CPLTmax,Tc,Pc,Vc,Zc,Acentric factor,Hig_f,Gig_f,Sig,Hstd_c,VPC1,VPC2,VPC3,VPC4,VPC5,VPTmin,VPTmax,LDC1,LDC2,LDC3,LDC4,LDTmin,LDTmax,HVC1,HVC2,HVC3,HVC4,HVTmin,HVTmax,CPGC1,CPGC2,CPGC3,CPGC4,CPGC5,CPGTmin,CPGTmax,VAPVISC1,VAPVISC2,VAPVISC3,VAPVISC4,VAPVISTmin,VAPVISTmax,LIQVISC1,LIQVISC2,LIQVISC3,LIQVISC4,LIQVISC5,LIQVISTmin,LIQVISTmax,GASTCC1,GASTCC2,GASTCC3,GASTCC4,GASTCTmin,GASTCTmax,LICTCC1,LICTCC2,LICTCC3,LICTCC4,LICTCC5,LICTCTmin,LICTCYmax
"1,2-Dibromoethane",C2H4Br2,106-93-4,187.86,200560,-491.44,0.9187,0,0,282.85,410,650.15,5.477,0.2616,0.265,0.2067,-38.9,-10.54,0.3297,-1176.9,43.751,"-5,587.70",-3.0891,8.27E-07,2,282.85,650.15,1.0132,0.26634,650.15,0.28571,282.85,650.15,53700000,0.416,0,0,282.85,650.15,74906,127250,1981,94370,845.2,200,1500,1.14E-07,0.8502,93.816,0,282.85,1000,-17.582,1635.4,0.9932,0,0,282.85,404.51,0.00015878,0.8636,659.5,0,404.51,"1,000",0.13622,-0.0001179,0,0,0,282.85,404.51
Dibromomethane,CH2Br2,74-95-3,173.84,202580,-726.3,1.3377,0,0,240,370.1,611,7.17,0.223,0.315,0.2095,None,None,0.292964,None,86.295,"-7,010.30",-9.5972,6.78E-06,2,220.6,611,1.1136,0.24834,611,0.27583,220.6,611,48200000,0.3771,0,0,220.6,611,39100,64800,1194,42000,501,100,1500,2.94E-07,0.728,154.74,0,370.1,1000,-10.013,921.31,0,0,0,220.6,488.8,0.00021302,0.8719,"1,620",0,370.1,"1,000",0.17558,-0.00022499,0,0,0,220.6,370.1
Dibutyl ether,C8H18O,142-96-1,130.23,270720,-259.83,0.95427,0,0,175.3,450,584.1,2.46,0.487,0.247,0.4476,-333.4,-88.27,0.5014,-4946.91,72.227,"-7,537.60",-7.0596,9.14E-18,6,175.3,584.1,0.55941,0.27243,584.1,0.29932,175.3,584.1,59616000,0.38833,0,0,175.3,584.1,161220,447770,1683.1,291800,781.6,200,1500,7.71E-08,0.79906,80.765,0,175.3,1000,10.027,206,-3.1607,0,0,175.3,414.15,0.003,0.58633,1259.9,"300,890",323.15,"1,000",0.19418,-0.00022246,0,0,0,175.3,523.15
m-Dichlorobenzene,C6H4Cl2,541-73-1,147,114880,187.25,0,0,0,248.39,400,683.95,4.07,0.351,0.251,0.279,25.7,77.9,0.34353,-2825,53.187,"-6,827.50",-4.3233,2.31E-18,6,248.39,683.95,0.74495,0.26147,683.95,0.31526,248.39,683.95,56899000,0.35765,0,0,248.39,683.95,70000,207460,1366.4,159830,620.16,200,1500,2.33E-07,0.714,260,0,248.39,1000,-1.9265,387.67,-1.1335,1.50E+14,-6,248.39,547.16,-1067.8,0.754,-3036100000,0,446.23,"1,000",0.16694,-0.0001667,0,0,0,248.39,446.23
o-Dichlorobenzene,C6H4Cl2,95-50-1,147,93093,183.97,0.2314,0,0,273.15,528.75,705,4.07,0.351,0.244,0.2192,30.2,82.9,0.34185,-2826,77.105,"-8,111.10",-7.8886,2.73E-06,2,256.15,705,0.74404,0.26112,705,0.30815,256.15,705,62117000,0.42845,0,0,256.15,705,69480,208040,1363.2,159400,619.2,200,1500,1.60E-07,0.763,205,0,256.15,1000,-30.6,2153.4,2.9371,0,0,256.15,453.57,"-1,420",0.7614,-4504000000,0,453.57,"1,000",0.16994,-0.0001637,0,0,0,262.87,351.71
p-Dichlorobenzene,C6H4Cl2,106-46-7,147,133950,-24.84,0.48191,0,0,326.14,513.56,684.75,4.07,0.351,0.251,0.2846,22.5,76.7,0.33674,-2802,88.31,"-8,463.40",-9.6308,4.58E-06,2,326.14,684.75,0.74858,0.26276,684.75,0.30788,326.14,684.75,59765000,0.38559,0,0,326.14,684.75,69780,207800,1363.5,159650,619.37,200,1500,1.59E-07,0.7639,193.14,0,326.14,1000,31.63,"-1,080",-6.114,0,0,326.14,447.21,-1520.8,0.754,-4332800000,0,447.21,"1,000",0.16977,-0.0001799,0,0,0,326.14,548
"1,1-Dichloroethane",C2H4Cl2,75-34-3,98.96,126340,-94.63,0.32,0,0,176.19,330.45,523,5.07,0.24,0.28,0.2339,-129.41,-72.59,0.30501,-1110.4,66.611,"-5,493.10",-6.7301,5.36E-06,2,176.19,523,1.1055,0.26533,523,0.287,176.19,523,42117000,0.36927,0,0,176.19,523,55210,120500,1502,87190,653.5,200,1500,2.01E-07,0.73421,111.98,0,176.19,1000,-8.991,870.2,-0.2805,0,0,176.19,330.45,0,1.0113,1023.8,0,330.45,"1,000",0.18881,-0.00026083,0,0,0,176.19,416.9
"1,2-Dichloroethane",C2H4Ch,107-06-2,98.96,179170,-444.74,0.93009,0,0,237.49,356.59,561.6,5.37,0.22,0.253,0.2866,-129.79,-73.945,0.30828,-1105,92.355,"-6,920.40",-10.651,9.14E-06,2,237.49,561.6,1.2591,0.27698,561.6,0.30492,237.49,561.6,45507000,0.34444,0,0,237.49,561.6,65271,112540,1737.6,87800,795.45,200,1500,1.43E-07,0.7785,98.159,0,237.49,1000,15.312,-41.12,-3.919,0,0,237.49,400,0.00021054,0.9574,"1,414",0,356.59,"1,000",0.214,-0.000266,0,0,0,253.15,356.59
Dichloromethane,CH2Cl2,75-09-2,84.93,98968,-62.941,0.23265,0,0,180,320,510,6.08,0.185,0.265,0.1986,-95.52,-68.96,0.27018,-513.88,101.6,"-6,541.60",-12.247,0.000012311,2,178.01,510,1.3897,0.25678,510,0.2902,178.01,510,41860000,0.4092,0,0,178.01,510,36280,68040,1256,42750,548,100,1500,7.68E-07,0.5741,276.16,0,178.01,1000,-13.071,940.03,0.3733,0,0,208.38,373.93,0.001,0.69531,2657.4,0,312.9,"1,000",0.23847,-0.00033366,0,0,0,178.01,325
"1,1-Dichloropropane",C3H6Cl2,78-99-9,112.99,144560,-53.605,0.30617,0,0,180,361.25,560,4.24,0.291,0.265,0.2529,-150.8,-65.2,0.3448,-1720,83.495,"-6,661.40",-9.2386,6.77E-06,2,200,560,0.9551,0.27794,560,0.24132,200,560,47740000,0.39204,0,0,200,560,71450,173440,1524,122300,674.2,150,1500,1.49E-07,0.7617,105.9,0,200,1000,-10.872,1033.1,-0.00067435,0,0,200,361.25,0,1.1148,849.98,0,361.25,"1,000",0.18,-0.00023144,0,0,0,200,438
